Table 4.2. Summary of observer data.,,,
Dates,Tows observed,Number of white-capped albatrosses captured,Capture rate (birds/tow)
31 Dec - 3 Mar,237,72,0.303797468
7 Jan - 12 Feb,125,36,0.288
15 Jan - 24 Apr,240,100,0.416666667
30 Jan - 23 Feb,73,8,0.109589041
28 Feb - 24 Mar,70,5,0.071428571
17 Feb - 25 Apr,152,15,0.098684211
For the 1989-1990 fishing season.  These data are from five different vessels. (The 30 Jan - 23 Feb and 28 Feb - 24 Mar observations were on the same vessel.),,,
